brand,name,feedbacks,nmFeedbacks,id,rating,reviewRating,root,optionId,basic,product
FELIX,Сухой корм для кошек с мясом 3 кг,16850,16850,156278877,5,5.0,471275191,260746032,1295.0,854.0
Мираторг,"Сухой корм для кошек из ароматной курочки 1,5кг",2947,2947,180062471,5,4.9,151154266,297683318,572.0,377.0
Brit,"Корм для кошек сухой, 2 кг",1266,1266,63799610,5,4.9,254410635,112092962,1575.0,1575.0
Дарлинг,"Корм для кошек сухой с мясом и овощами 2,1кг",38,38,340327288,5,4.9,323762041,506909850,850.0,476.0
Мираторг,"Сухой корм для кошек, курица,1,5кг",6767,6767,140079792,5,5.0,10419415,237594151,655.0,445.0
Ultra,"Сухой корм с курицей для взрослых кошек, 1,5кг",280,280,290018548,5,4.8,270583770,442519612,419.0,377.0
Мираторг,"Сухой корм для кошек, с говядиной1,5кг",5414,5414,140079826,5,4.9,10419433,237594185,655.0,465.0
Secret for Pets,сухой корм для стерилизованных кошек курица и рис 2 кг,4997,4997,148643341,5,4.9,125828693,249632959,4188.0,942.0
Мираторг,"Сухой корм для кошек от 1 года, с говядиной 1,5кг",1880,1880,164688397,5,4.9,151154266,274325973,572.0,377.0
D-CaDo Pets,Urinary Сухой корм для кошек с мочекаменной болезнью 1.5 кг,5619,5619,152406713,5,4.9,218399008,255092300,2103.0,818.0
Мираторг,"Сухой корм для кошек, с ягненком,1,5кг",8873,8873,140079835,5,4.9,119656810,237594197,655.0,465.0
Secret for Pets,корм для кошек сухой мясное рагу 2 кг,4787,4787,148643354,5,4.9,126948994,249632972,4128.0,928.0
Brit,"Корм для кошек сухой, взрослые кошки 2 кг",716,716,63799612,5,4.9,254271770,112092964,1345.0,1049.0
Felix,Сухой корм 3кг с мясом,1221,1221,206336524,5,5.0,187021030,331415545,1700.0,1224.0
ROXFOX,"Сухой корм для кошек с курицей 1,5 кг",93,93,313249838,5,4.7,223025598,473311703,1474.0,398.0
Мираторг,"Сухой корм для стерилизованных кошек, с телятиной,1,2кг",8206,8206,65544355,5,4.9,49735526,114345688,669.0,428.0
PURINA ONE,"Сухой корм для домашних кошек, индейка 3 кг",11456,11456,54631238,5,5.0,194731083,101061950,1851.0,1221.0
Мираторг,"Сухой корм для кошек от 1 года, с ягненком 1,5кг",2703,2703,164853813,5,4.9,151154266,274579170,572.0,377.0
FELIX,"Сухой корм Феликс для кошек с мясом, 3 кг",408,408,140668422,5,4.9,249763191,238440319,2865.0,945.0
ProBalance,Корм сухой для кошек для иммунитета Immuno индейка 1.8кг,9315,9315,72686899,5,4.9,57603279,123440931,1375.0,1076.0
KORWOOD,Сухой корм для стерилизованных кошек индейка и курица 2кг,1567,1567,195979771,5,4.7,177997206,318245672,2985.0,630.0
Jarvi elaman,"Сухой корм для кошек с чувствительным пищеварением, 400 г",1258,1258,177420744,5,5.0,161910954,293792777,842.0,673.0
AlphaPet WOW,Сухой корм для стерил кошек с индейкой и потрошками 1.5кг,2090,2090,76764250,5,5.0,60559217,128772324,1455.0,864.0
SIRIUS,"Сухой корм для стерилизованных кошек 1,5 кг",1459,1459,243670475,5,4.9,475686546,382367817,1210.0,798.0
KAISER,"Сухой корм для кошек с лососем и хамсой 1,5 кг",1069,1069,238625560,5,4.9,214470360,375465916,1600.0,972.0
Мираторг,"Сухой корм для стерилизованных кошек с телятиной 2,6кг",2372,2372,223290862,5,4.9,199977356,354265598,1100.0,990.0
Ultra,"Сухой корм с говядиной для стерилизованных кошек, 3кг",98,98,290018513,5,4.8,270583770,442519578,967.0,870.0
PURINA ONE,"Сухой корм для кошек с чувствительным пищеварением 1,5кг",1166,1166,119480456,5,4.9,120609015,211961115,1030.0,679.0
Мираторг,"Сухой корм для кошек, с телятиной,1,5кг",10182,10182,140079793,5,4.9,10419418,237594152,665.0,465.0
Delicana,"Сухой корм для кошек с проблемами жкт 1,5кг",1835,1835,150731886,5,4.9,127768080,252651567,1600.0,921.0
Ultra,"Сухой корм с курицей для взрослых кошек, 3кг",289,289,198562337,5,4.8,180091838,321665516,824.0,502.0
ProBalance,"Корм сухой для кошек с говядиной и ягненком 1,8 кг",3034,3034,141847696,5,4.9,120942102,240101860,1500.0,877.0
Best Dinner,"Корм для кошек сухой Ягненок голубика 1,5 кг",378,378,65931000,5,4.9,31555354,114831999,4090.0,3092.0
PURINA ONE,Сухой корм с индейкой и злаками 3 кг,1757,1757,94268750,5,4.9,73482124,150518538,1900.0,1254.0
Jarvi elaman,"Сухой корм для взрослых кошек и котов, Курица, 400 г",466,466,177419931,5,4.9,161910951,293791329,843.0,674.0
Secret for Pets,Корм для кошек сухой с лососем 2 кг,2788,2788,149782924,5,4.9,126948829,251276229,1061.0,954.0
PURINA ONE,Сухой Корм Пурина Для Стерилизованных Кошек Курица 3кг,1632,1632,225496425,5,5.0,202956459,357243044,1999.0,1319.0
Brit,"Корм для кошек сухой, 2 кг",1138,1138,63799633,5,4.9,254269398,112093005,1345.0,1049.0
Ultra,"Сухой корм с курицей для взрослых кошек, 3кг",123,123,290018517,5,4.8,270583770,442519583,824.0,659.0
PURINA ONE,Сухой корм для кошек 3 кг,1798,1798,214166472,5,4.9,223662469,341937051,1989.0,1591.0
Best dinner,"Сухой корм для стерилизованных кошек, с говядиной 1.5кг",316,316,104369006,5,4.9,13806984,163628059,2360.0,2081.0
