brand,name,feedbacks,nmFeedbacks,id,rating,reviewRating,root,optionId,basic,product
Асепта,"Зубная паста от кровоточивости десен ASEPTA Active, 75 мл",8112,8112,24716555,5,4.9,18093540,58405655,509.0,249.0
Асепта,"Ополаскиватель для рта ASEPTA от кровоточивости, 250 мл",4705,4705,24716557,5,4.9,18093508,58405657,654.0,348.0
АСЕПТА,Asepta parodontal актив зубная паста 75 мл 2 шт,0,0,292702312,0,0.0,198727213,446269322,1900.0,855.0
АСЕПТА,Asepta Актив Зубная паста 75 мл 1уп,1,1,190160320,5,5.0,172657337,311066726,1400.0,630.0
АСЕПТА,Asepta Актив Зубная паста 75 мл 2 уп,1,1,190160321,5,5.0,172657337,311066727,2200.0,990.0
Асепта,"Зубная паста ASEPTA Актив от кровоточивости, 75 мл",1,1,344227221,5,5.0,328165486,511580915,1080.0,599.0
АСЕПТА,Asepta parodontal актив зубная паста 75 мл 1 шт,0,0,220272004,0,0.0,198727213,350184947,1300.0,585.0
Асепта,"Зубная паста от кровоточивости десен ASEPTA Active, 75 мл",5,5,301579962,5,5.0,281823109,458285465,1360.0,456.0
Асепта,"Ополаскиватель для полости рта ASEPTA Актив, 250 мл",1,1,344283284,5,5.0,328362573,511643921,1400.0,777.0
Асепта,Active зубная паста 75 мл - 3 шт,0,0,449673184,0,0.0,446760600,635433995,2780.0,1376.0
Асепта,"Ополаскиватель для рта ASEPTA от кровоточивости, 250 мл",0,0,460006276,0,0.0,282688557,647804790,1399.0,1259.0
Асепта,ополаскиватель для полости рта ASEPTA,0,0,454543443,0,0.0,453367939,641085009,1839.0,1158.0
Асепта,"Ополаскиватель для полости рта Asepta, 250 мл",0,0,355404132,0,0.0,342210239,524032349,1430.0,1003.0
Асепта,ополаскиватель для полости рта ASEPTA,0,0,443197532,0,0.0,437523603,627196854,1839.0,976.0
Асепта,бальзам для десен адгезивный 10гр 10 шт,0,0,398643036,0,0.0,392074006,575840846,11332.0,5507.0
Асепта,бальзам для десен адгезивный 10гр 5 шт,0,0,398643037,0,0.0,392074006,575840847,5795.0,2816.0
Асепта,бальзам для десен адгезивный 10гр 4 шт,0,0,398643038,0,0.0,392074006,575840848,4688.0,2278.0
АСЕПТА,Зубная паста кофе и табак +ополаскиватель актив,0,0,190498642,0,0.0,172900747,311505248,2700.0,1215.0
АСЕПТА,Зубная паста Актив75мл,134,134,177243834,5,4.9,167258847,293523393,475.0,384.0
Асепта,Зубная паста Актив75мл,0,0,449663994,0,0.0,446751658,635423028,284.0,284.0
Асепта,Ополаскиватель для полости рта Active 250 мл,19,19,227509019,5,4.8,204728985,359948373,1335.0,600.0
Асепта,active зубная паста 75мл,0,0,420794144,0,0.0,412933898,601368941,1212.0,578.0
Асепта,Актив профилактическая зубная паста 75 мл,0,0,413464880,0,0.0,405469469,592808084,774.0,458.0
Асепта,актив ополаскиватель для полости рта 250мл флак-1шт,1,1,250538653,5,5.0,226203814,391772101,1637.0,721.0
Асепта,active зубная паста 75мл 3 шт,0,0,420794147,0,0.0,412933898,601368944,2773.0,1347.0
АСЕПТА,Актив зубная паста 75мл,0,0,271406332,0,0.0,250263162,419384165,695.0,544.0
АСЕПТА РАСТВОР ДЛЯ РТА,Asepta Актив ополаскиватель д полости рта 250 мл 1шт,1,1,230679650,5,5.0,207473328,364235374,2200.0,990.0
Асепта,Актив ополаскиватель для полости рта 250 мл,0,0,449664077,0,0.0,446751715,635423116,361.0,361.0
Асепта,active зубная паста 75мл 2 шт,0,0,420794145,0,0.0,412933898,601368942,2008.0,802.0
Асепта,active зубная паста 75мл,2,2,304923710,4,4.0,285099843,462883355,1180.0,584.0
Асепта,актив ополаскиватель для полости рта 250мл флак-2шт,3,3,250538656,5,5.0,226203814,391772104,2835.0,1250.0
Асепта,active зубная паста 75мл,0,0,304928770,0,0.0,285103755,462890118,1295.0,617.0
Асепта,актив ополаскиватель д полости рта флак 250мл 4 шт,0,0,406273203,0,0.0,399481112,584610144,4882.0,1950.0
Асепта,"Набор зубная паста, ополаскиватель и бальзам для десен",5,5,302335959,5,5.0,281823109,459304923,2941.0,979.0
АСЕПТА,Набор Комплексный Здоровые Десны - 1 шт,1,1,300783713,5,5.0,281041357,457035283,2672.0,1178.0
АСЕПТА,active зубная паста 75мл - 1 шт,0,0,341016394,0,0.0,324343558,507722361,1388.0,599.0
АСЕПТА,active зубная паста 75мл 3 шт,0,0,341016395,0,0.0,324343558,507722362,3111.0,1343.0
Асепта,active зубная паста 75мл 3 шт,0,0,304928772,0,0.0,285103755,462890120,2891.0,1379.0
Асепта,актив ополаскиватель д полости рта флак 250мл 5 шт,0,0,406273201,0,0.0,399481112,584610143,6039.0,2934.0
Асепта,active зубная паста 75мл,0,0,419745088,0,0.0,411547641,600123510,1368.0,496.0
Асепта,active зубная паста 75мл 2 шт,0,0,304928771,0,0.0,285103755,462890119,2059.0,982.0
АСЕПТА,active зубная паста 75мл 2 шт,0,0,341016393,0,0.0,324343558,507722360,2209.0,954.0
АСЕПТА,Актив Ополаскиватель для полости рта 250мл Флак-3шт,0,0,284162465,0,0.0,265249240,435408890,4220.0,1785.0
АСЕПТА,Актив зубная паста 75 мл + ополаскиватель 250 мл,4,4,190471633,5,5.0,172900747,311471161,2700.0,1215.0
